date,ARKK_shares_adj,ARKQ_shares_adj,combined_shares_adj,ARKK_weight_pct,ARKQ_weight_pct,TSLA_close
2021-12-28,3839031.0,676095.0,4515126.0,8.37,11.1,362.8233337402344
2021-12-29,3762534.0,666753.0,4429287.0,8.39,11.07,362.0633239746094
2021-12-30,3680910.0,651546.0,4332456.0,8.25,10.85,356.7799987792969
2021-12-31,3622044.0,648063.0,4270107.0,7.74,10.58,352.260009765625
2022-01-03,3596628.0,648063.0,4244691.0,7.88,10.62,399.9266662597656
2022-01-04,3607218.0,614760.0,4221978.0,8.73,11.19,383.1966552734375
2022-01-05,3474723.0,613659.0,4088382.0,8.54,10.87,362.7066650390625
2022-01-06,3441699.0,613659.0,4055358.0,8.67,10.77,354.8999938964844
2022-01-07,3464403.0,610356.0,4074759.0,8.55,10.58,342.32000732421875
2022-01-10,3507747.0,602649.0,4110396.0,8.37,10.33,352.7066650390625
2022-01-11,3523227.0,596043.0,4119270.0,8.62,10.81,354.79998779296875
2022-01-12,3554187.0,593841.0,4148028.0,8.43,10.63,368.739990234375
2022-01-13,3497715.0,591639.0,4089354.0,8.97,11.03,343.85333251953125
2022-01-14,3192249.0,590538.0,3782787.0,8.29,10.65,349.8699951171875
2022-01-18,3084381.0,588336.0,3672717.0,8.25,10.85,343.5033264160156
2022-01-19,3131631.0,586134.0,3717765.0,8.41,11.01,331.8833312988281
2022-01-20,3170376.0,580629.0,3751005.0,8.26,10.82,332.0899963378906
2022-01-21,3202506.0,578427.0,3780933.0,8.28,10.81,314.6333312988281
2022-01-24,3198726.0,583932.0,3782658.0,8.29,10.56,310.0
2022-01-25,3212901.0,559710.0,3772611.0,7.98,10.38,306.1333312988281
2022-01-26,3267711.0,558609.0,3826320.0,8.16,10.45,312.4700012207031
2022-01-27,3211011.0,555306.0,3766317.0,8.54,10.79,276.3666687011719
2022-01-28,3269838.0,549801.0,3819639.0,8.07,9.97,282.1166687011719
2022-01-31,3261117.0,548700.0,3809817.0,7.92,10.0,312.239990234375
2022-02-01,3419367.0,547599.0,3966966.0,8.23,10.44,310.4166564941406
2022-02-02,3419910.0,547599.0,3967509.0,8.05,10.3,301.88665771484375
2022-02-03,3383745.0,547599.0,3931344.0,8.25,10.18,297.0466613769531
2022-02-04,3333645.0,545397.0,3879042.0,8.59,10.37,307.7733459472656
2022-02-07,3311889.0,545397.0,3857286.0,8.48,10.5,302.4466552734375
2022-02-08,3401901.0,545397.0,3947298.0,8.55,10.29,307.3333435058594
2022-02-09,3429522.0,545397.0,3974919.0,8.69,10.22,310.6666564941406
2022-02-10,3513408.0,545397.0,4058805.0,8.41,10.12,301.51666259765625
2022-02-11,3503178.0,543195.0,4046373.0,8.36,10.06,286.6666564941406
2022-02-14,3465327.0,543195.0,4008522.0,8.1,9.69,291.9200134277344
2022-02-15,3488856.0,542094.0,4030950.0,8.34,9.9,307.4766540527344
2022-02-16,3536937.0,542094.0,4079031.0,8.36,10.03,307.7966613769531
2022-02-17,3519546.0,542094.0,4061640.0,8.65,10.07,292.1166687011719
2022-02-18,3493971.0,545850.0,4039821.0,8.76,9.93,285.6600036621094
2022-02-22,3504201.0,542520.0,4046721.0,9.01,9.86,273.84332275390625
2022-02-23,3544083.0,551820.0,4095903.0,8.98,9.96,254.67999267578125
2022-02-24,3599097.0,548436.0,4147533.0,8.68,9.57,266.92333984375
2022-02-25,3735282.0,559812.0,4295094.0,8.59,9.71,269.9566650390625
2022-02-28,3738450.0,571593.0,4310043.0,8.41,9.87,290.1433410644531
2022-03-01,3766962.0,571593.0,4338555.0,8.69,10.24,288.1233215332031
2022-03-02,3787026.0,571593.0,4358619.0,8.89,10.39,293.2966613769531
2022-03-03,3788082.0,571593.0,4359675.0,9.17,10.55,279.7633361816406
2022-03-04,3763794.0,571593.0,4335387.0,9.33,10.46,279.42999267578125
2022-03-07,3742674.0,570417.0,4313091.0,9.77,10.68,268.1933288574219
2022-03-08,3797586.0,570417.0,4368003.0,9.75,10.43,274.79998779296875
2022-03-09,3893682.0,566889.0,4460571.0,9.89,10.65,286.3233337402344
2022-03-10,3868338.0,566889.0,4435227.0,9.8,10.77,279.4333190917969
2022-03-11,3912690.0,566889.0,4479579.0,9.9,10.67,265.1166687011719
2022-03-14,3895794.0,566889.0,4462683.0,10.05,10.49,255.4566650390625
2022-03-15,3890514.0,566889.0,4457403.0,10.3,10.47,267.2966613769531
2022-03-16,3925362.0,568065.0,4493427.0,10.38,10.68,280.07666015625
2022-03-17,4045746.0,568065.0,4613811.0,9.87,10.5,290.5333251953125
2022-03-18,4097490.0,568065.0,4665555.0,9.75,10.53,301.7966613769531
2022-03-21,4068978.0,568065.0,4637043.0,9.66,10.56,307.0533447265625
2022-03-22,4006674.0,568065.0,4574739.0,10.16,10.83,331.32666015625
2022-03-23,3961266.0,568065.0,4529331.0,10.45,11.36,333.03668212890625
2022-03-24,3939090.0,566889.0,4505979.0,10.72,11.55,337.97332763671875
2022-03-25,3898962.0,566889.0,4465851.0,10.75,11.5,336.8800048828125
2022-03-28,3499983.0,517602.0,4017585.0,10.02,10.54,363.9466552734375
2022-03-29,3479823.0,517602.0,3997425.0,10.41,11.26,366.5233459472656
2022-03-30,3389298.0,517602.0,3906900.0,9.51,11.03,364.663330078125
2022-03-31,3387450.0,517602.0,3905052.0,9.81,11.19,359.20001220703125
2022-04-01,3282294.0,499269.0,3781563.0,9.75,11.02,361.5299987792969
2022-04-04,3264174.0,499269.0,3763443.0,9.67,10.98,381.8166809082031
2022-04-05,3283200.0,499269.0,3782469.0,9.8,11.23,363.7533264160156
2022-04-06,3277764.0,499269.0,3777033.0,9.88,11.05,348.586669921875
2022-04-07,3248772.0,499269.0,3748041.0,9.94,10.97,352.4200134277344
2022-04-08,3227028.0,499269.0,3726297.0,10.17,11.12,341.8299865722656
2022-04-11,3189882.0,499269.0,3689151.0,10.19,11.02,325.30999755859375
2022-04-12,3217062.0,497199.0,3714261.0,9.83,10.61,328.98333740234375
2022-04-13,3257832.0,496164.0,3753996.0,9.95,10.76,340.7900085449219
2022-04-14,3303132.0,496164.0,3799296.0,9.99,10.93,328.3333435058594
2022-04-18,3294978.0,496164.0,3791142.0,10.07,10.72,334.7633361816406
2022-04-19,3309474.0,494094.0,3803568.0,10.55,11.05,342.7166748046875
2022-04-20,3323970.0,494094.0,3818064.0,10.39,11.07,325.73333740234375
2022-04-21,3117600.0,494094.0,3611694.0,9.84,10.75,336.260009765625
2022-04-22,2881008.0,451587.0,3332595.0,10.0,10.5,335.01666259765625
2022-04-25,2896056.0,451587.0,3347643.0,10.13,10.7,332.67333984375
2022-04-26,2889756.0,449691.0,3339447.0,9.64,10.42,292.1400146484375
2022-04-27,2943408.0,449691.0,3393099.0,9.08,9.67,293.836669921875
2022-04-28,2941830.0,447795.0,3389625.0,9.34,9.78,292.5033264160156
2022-04-29,2895156.0,447795.0,3342951.0,9.32,9.54,290.2533264160156
2022-05-02,2921676.0,446847.0,3368523.0,9.58,9.69,300.9800109863281
2022-05-03,2895156.0,446847.0,3342003.0,9.37,9.83,303.0833435058594
2022-05-04,2938056.0,444951.0,3383007.0,9.49,9.9,317.5400085449219
2022-05-05,3047256.0,444003.0,3491259.0,9.45,10.05,291.09332275390625
2022-05-06,2999283.0,444003.0,3443286.0,9.26,9.82,288.54998779296875
2022-05-09,2920347.0,444003.0,3364350.0,9.61,9.97,262.3699951171875
2022-05-10,2887941.0,442107.0,3330048.0,9.54,9.74,266.67999267578125
2022-05-11,2974593.0,442107.0,3416700.0,9.72,9.9,244.6666717529297
2022-05-12,2961147.0,441159.0,3402306.0,9.91,9.52,242.6666717529297
2022-05-13,2978328.0,438315.0,3416643.0,9.31,9.22,256.5299987792969
2022-05-16,3061992.0,437367.0,3499359.0,8.81,9.22,241.4566650390625
2022-05-17,3053028.0,435471.0,3488499.0,8.79,8.87,253.8699951171875
2022-05-18,3043317.0,433575.0,3476892.0,8.81,8.89,236.60333251953125
2022-05-19,2970858.0,432627.0,3403485.0,8.58,8.55,236.47332763671875
2022-05-20,2968617.0,429783.0,3398400.0,8.21,8.39,221.3000030517578
2022-05-23,2965629.0,424095.0,3389724.0,7.79,8.04,224.96665954589844
2022-05-24,3025902.0,424095.0,3449997.0,8.1,8.11,209.3866729736328
2022-05-25,3037881.0,423147.0,3461028.0,8.28,7.84,219.60000610351562
2022-05-26,3063027.0,422199.0,3485226.0,8.35,8.08,235.91000366210938
2022-05-27,3084783.0,422199.0,3506982.0,8.63,8.42,253.2100067138672
2022-05-31,3120525.0,422199.0,3542724.0,8.67,8.68,252.75332641601562
2022-06-01,3109725.0,422199.0,3531924.0,8.93,8.77,246.7899932861328
2022-06-02,3068544.0,420303.0,3488847.0,9.03,8.68,258.3333435058594
2022-06-03,3078684.0,420303.0,3498987.0,8.82,8.61,234.51666259765625
2022-06-06,3051384.0,420303.0,3471687.0,8.45,8.05,238.27999877929688
2022-06-07,3041283.0,434415.0,3475698.0,8.52,8.48,238.8866729736328
2022-06-08,3059931.0,440094.0,3500025.0,8.32,8.51,241.86666870117188
2022-06-09,3063039.0,445506.0,3508545.0,8.21,8.64,239.7066650390625
2022-06-10,3069279.0,445506.0,3514785.0,8.63,8.86,232.22999572753906
2022-06-13,3007659.0,445506.0,3453165.0,8.98,8.88,215.73666381835938
2022-06-14,2975679.0,453906.0,3429585.0,9.16,8.93,220.88999938964844
2022-06-15,3011559.0,454806.0,3466365.0,9.3,9.13,233.0
2022-06-16,3062259.0,452754.0,3515013.0,9.23,9.3,213.10000610351562
2022-06-17,3084879.0,468276.0,3553155.0,8.97,9.26,216.75999450683594
2022-06-21,3087219.0,468276.0,3555495.0,8.71,9.12,237.0366668701172
2022-06-22,3145719.0,466158.0,3611877.0,9.13,9.73,236.086669921875
2022-06-23,3178479.0,464040.0,3642519.0,8.96,9.71,235.07000732421875
2022-06-24,3198759.0,464040.0,3662799.0,8.33,9.5,245.7066650390625
2022-06-27,3222939.0,464040.0,3686979.0,8.35,9.71,244.9199981689453
2022-06-28,3174579.0,464040.0,3638619.0,8.51,9.8,232.663330078125
2022-06-29,3116859.0,464040.0,3580899.0,8.58,9.59,228.49000549316406
2022-06-30,3091899.0,462981.0,3554880.0,8.56,9.58,224.47332763671875
2022-07-01,3069279.0,462981.0,3532260.0,8.73,9.49,227.26333618164062
2022-07-05,3070839.0,462981.0,3533820.0,8.59,9.59,233.06666564941406
2022-07-06,3182727.0,462981.0,3645708.0,8.12,9.66,231.73333740234375
2022-07-07,3223131.0,462981.0,3686112.0,8.21,9.78,244.5433349609375
2022-07-08,3202929.0,462981.0,3665910.0,8.1,9.88,250.76333618164062
2022-07-11,3187389.0,461922.0,3649311.0,8.34,10.12,234.3433380126953
2022-07-12,3192051.0,461922.0,3653973.0,8.35,9.87,233.07000732421875
2022-07-13,3171849.0,461922.0,3633771.0,8.18,9.88,237.0399932861328
2022-07-14,3190497.0,461922.0,3652419.0,8.43,10.07,238.31333923339844
2022-07-15,3188943.0,461922.0,3650865.0,8.63,10.18,240.06666564941406
2022-07-19,3209145.0,461922.0,3671067.0,8.5,10.03,245.52999877929688
2022-07-20,3199005.0,461922.0,3660927.0,8.34,9.97,247.5
2022-07-21,3219285.0,461922.0,3681207.0,8.02,9.82,271.7066650390625
2022-07-22,3252045.0,461922.0,3713967.0,8.66,10.46,272.24334716796875
2022-07-25,3228735.0,460863.0,3689598.0,9.17,10.81,268.4333190917969
2022-07-26,3208533.0,460863.0,3669396.0,9.15,10.71,258.8599853515625
2022-07-27,3202317.0,459804.0,3662121.0,9.24,10.53,274.82000732421875
2022-07-28,3224850.0,457686.0,3682536.0,9.21,10.77,280.8999938964844
2022-07-29,3225627.0,457686.0,3683313.0,9.47,10.79,297.1499938964844
2022-08-01,3124539.0,457686.0,3582225.0,9.94,11.22,297.27667236328125
2022-08-02,3104883.0,457686.0,3562569.0,9.83,11.21,300.586669921875
2022-08-03,3095055.0,457686.0,3552741.0,9.67,11.23,307.39666748046875
2022-08-04,3098079.0,457686.0,3555765.0,9.34,11.21,308.6333312988281
2022-08-05,3068595.0,457686.0,3526281.0,9.3,11.21,288.1700134277344
2022-08-08,3037599.0,457686.0,3495285.0,8.69,10.64,290.42333984375
2022-08-09,3025503.0,457686.0,3483189.0,8.62,10.64,283.3333435058594
2022-08-10,2996775.0,456627.0,3453402.0,8.9,10.63,294.3566589355469
2022-08-11,2989215.0,455568.0,3444783.0,8.63,10.53,286.6300048828125
2022-08-12,2942343.0,455568.0,3397911.0,8.65,10.3,300.0299987792969
2022-08-15,2948391.0,455568.0,3403959.0,8.71,10.49,309.32000732421875
2022-08-16,2940075.0,455568.0,3395643.0,8.96,10.84,306.5633239746094
2022-08-17,2915127.0,455568.0,3370695.0,9.12,10.77,303.9966735839844
2022-08-18,2890179.0,454509.0,3344688.0,9.54,11.06,302.8699951171875
2022-08-19,2855403.0,454509.0,3309912.0,9.62,11.02,296.6666564941406
2022-08-22,2819115.0,453450.0,3272565.0,10.02,11.19,289.913330078125
2022-08-23,2813823.0,452391.0,3266214.0,10.05,11.3,296.4533386230469
2022-08-24,2877075.0,452391.0,3329466.0,10.32,11.62,297.0966796875
2022-08-25,2899755.0,452391.0,3352146.0,10.07,11.46,296.07000732421875
2022-08-26,2923160.0,452391.0,3375551.0,9.78,11.2,288.0899963378906
2022-08-29,2908815.0,451331.0,3360146.0,10.15,11.39,284.82000732421875
2022-08-30,2871820.0,451331.0,3323151.0,10.19,11.4,277.70001220703125
2022-08-31,2866535.0,451331.0,3317866.0,10.0,11.29,275.6099853515625
2022-09-01,2877860.0,451331.0,3329191.0,9.94,11.24,277.1600036621094
2022-09-02,2768732.0,435163.0,3203895.0,9.63,11.06,270.2099914550781
2022-09-06,2753507.0,434141.0,3187648.0,9.64,11.0,274.4200134277344
2022-09-07,2739007.0,434141.0,3173148.0,9.95,11.15,283.70001220703125
2022-09-08,2772357.0,434141.0,3206498.0,9.93,11.52,289.260009765625
2022-09-09,2797007.0,434141.0,3231148.0,9.81,11.57,299.67999267578125
2022-09-12,2824557.0,433120.0,3257677.0,9.74,11.59,304.4200134277344
2022-09-13,2835432.0,433120.0,3268552.0,9.66,11.63,292.1300048828125
2022-09-14,2783232.0,433120.0,3216352.0,9.91,11.67,302.6099853515625
2022-09-15,2743357.0,431076.0,3174433.0,10.02,12.0,303.75
